Target,CHK1_5DLS,Ancestor,CC(N)C/N=C/n1c2c3c(cc-2cn(CCC(=O)O)c1=O)CNC=N3,,
CCN(C)CCN(C)CCCc1ccccc1NC=Cc1ccccn1,36,-9.39,0.66,2.65,352.26
CN(C)[CH]C1CN(Cc2ccccc2-c2ccccc2O)CCO1,9,-9.08,0.92,3.09,325.19
NCN1CNCN(c2ncccc2-c2ccccc2Cl)C1,3,-8.71,0.91,2.88,303.13
CC1CCCN(c2ccccc2-c2cccnc2)C1,8,-8.68,0.8,2.36,252.16
CCN1CNC[C@H](c2ccccc2-c2ccccc2O)C1,7,-8.68,0.91,2.85,282.17
CN(CCNc1ccccn1)c1cccnc1,30,-8.17,0.85,2.17,228.14
CN1NC(CN)(Cc2ccccc2-c2ccccc2)N1,30,-9.4,0.79,2.71,268.17
CN(C)N(CCc1cccnc1)NCc1ccccc1,25,-8.62,0.78,2.48,270.18
Cc1cccnc1-c1ccccc1N1CC(CNCN)C1,7,-7.97,0.82,2.49,282.18
CN(C)CCCNN(C)CCc1ccccc1-c1cccnc1,36,-9.53,0.57,2.49,312.23
CC1CCN(CC2=CNNc3nc4ccncc4n32)CC1,7,-9.64,0.88,3.17,284.17
CC1CCN(c2ccccc2C2=CCC=CC2=O)CC1,32,-8.53,0.81,2.56,267.16
OCN1CCCC[C@H]1Cc1ccccc1-c1ccn[nH]1,9,-9.25,0.9,3.06,271.17
CCN(CCCNCCN(C)C)c1ccccc1-c1cncnn1,38,-8.78,0.67,2.71,328.24
CC1CN(c2ccccc2C=Cc2cnccn2)CCN1,4,-8.62,0.94,3.04,280.17
CN(C)CCCNNCCCCCc1ccccc1-c1cccnc1,37,-9.3,0.46,2.38,340.26
CCCN1NCC([CH]Cc2ccccc2-c2ccccc2C)CN1,8,-8.93,0.85,3.19,322.23
Cc1ncccc1-c1cccnc1N1CCCN(C)C1,2,-7.89,0.84,2.52,268.17
CN(CC(=N)CCc1ccccn1)c1cccnc1,16,-8.88,0.81,2.65,254.15
CNc1ncccc1C[CH]CN(C)Cc1ccccn1,19,-8.73,0.84,2.8,269.18
CCNC[C@H](CN)Oc1ccccc1OCc1cccs1,27,-8.68,0.75,2.79,306.14
C[C@@H](N)CN(C)CC1CCN(c2cccnc2)CC1,9,-8.59,0.87,2.82,262.22
CCC1CN(c2ncccc2-c2ccccc2C)CCN1,6,-7.23,0.94,2.7,281.19
CN(CCN(C)c1cccnc1)Cc1ccn[nH]1,17,-8.71,0.83,2.65,245.16
c1cc2cc3nccc(CN4CCCCC4)n3c2cn1,7,-9.19,0.71,2.64,266.15
C=CC(=O)c1ccccc1CNCC1CCNCC1,9,-9.49,0.61,2.41,258.17
CN(C)CCN(C)CCC1=CC(=O)c2ccccc21,25,-8.05,0.78,2.47,258.17
OCc1ccccc1-c1ccccc1N1CC[C](O)NC1,23,-7.88,0.81,2.68,283.14
CC=C1C=CCC(c2ccccc2N2CCC(O)CC2)=C1,24,-7.9,0.89,2.89,281.18
CCN(CC=Cc1cccnc1)C[C@H](C)c1ccccc1O,20,-8.22,0.84,2.96,296.19
CN(O)CC1CCCN(Cc2ccccc2-c2ccccc2N)C1,6,-8.72,0.65,2.79,325.22
CN(C)CCCNN(C)CCc1ccccc1-c1cnccn1,37,-9.31,0.57,2.68,313.23
CCN(Cc1ccccn1)NCc1cccnc1,15,-8.31,0.79,2.49,242.15
CN(C)CC(CNCc1cccnc1N)Cc1ccccn1,26,-8.67,0.77,2.98,299.21
COC1CNC[C@H](c2ccccc2-c2ccccc2C)C1,2,-7.38,0.92,2.88,281.18
CCc1ccccc1-c1cnccc1CN1C[CH]NN1,34,-8.82,0.89,3.14,267.16
O[C]1CCN(c2ccccc2-c2ccccc2O)CN1,23,-8.19,0.78,2.67,269.13
CN(CC[C@H](N)CCCc1ccccc1)Cc1cnccn1,18,-7.9,0.77,2.74,298.22
Cc1ncccc1CNN(CCCN)c1ccccc1,21,-7.97,0.76,2.56,270.18
NN1[CH]CCNN1Cc1ccccc1-c1ccccc1,33,-8.44,0.84,2.9,267.16
CNN1C=C(Nc2ccccc2-c2ccccc2O)C1,27,-7.99,0.8,2.66,267.14
CN(C)N(C)NC1CCN(c2ccccn2)CC1,20,-8.25,0.8,2.64,249.2
CN(C)[CH]CCCNCN(C)CCc1ccccc1-c1cccnc1,38,-9.91,0.5,2.93,339.25
CN(C)N(C)NCC1CCN(c2ccccn2)CC1,14,-7.93,0.81,2.67,263.21
CC1[C@@H](c2ccccc2-c2cccnc2)NCCN1C,4,-8.65,0.91,3.18,267.17
CCCc1cnccc1CCCCN1CCNC1,16,-8.47,0.75,2.59,247.2
CCN1CC(Nc2ccccc2-c2ccccc2O)N1,27,-9.2,0.8,3.09,269.15
NCC1SCCN1c1ccccc1Cc1cccnc1,6,-7.51,0.94,3.07,285.13
CCCCN1CCN(CNc2cccnc2)C1,12,-7.63,0.81,2.46,234.18
CN(C)CCN1CCCC1Cc1cccnc1N,13,-8.14,0.85,2.83,248.2
CN(C)CCCCN1CCCC[C@H]1c1cccnc1,7,-8.09,0.73,2.57,261.22
CNCCCCN=CSCCCCCc1ccccc1-c1cccnc1,39,-10.36,0.3,2.8,369.22
c1cnc2c(c1)nc1n2C[C@@H](CCN2CCNC2)CC1,6,-8.84,0.91,3.35,271.18
COC1CNC[C](c2cccnc2-c2ccccc2Cl)C1,2,-7.36,0.94,3.19,301.11
CNCCc1ccnnc1N(O)CCc1ccccc1,29,-8,0.75,2.7,272.16
CC(NCc1ccncc1)N(C)c1ccccc1,19,-8.09,0.82,2.7,241.16
CONc1ncccc1CCN1CCCN(C)C1,28,-8.23,0.8,2.77,250.18
CN(N)CCCN(CCc1ccccc1)Cc1cncnc1,16,-8.11,0.56,2.44,299.21
OC1CNC[C@H](c2cccnc2-c2ccccc2F)C1,3,-8.09,0.88,3.14,272.13
CCN(CCCCC1CN(C)C1)c1cccnc1,14,-7.92,0.69,2.41,247.2
CCN(C=CCc1ccncc1)CN(C)c1ccccc1Cl,21,-7.84,0.71,2.9,315.15
CCN(C)N(CCc1ccccc1)Nc1ccccc1O,25,-8.36,0.61,2.55,285.18
CN(C)CNCC1=C(c2cccnc2)CCCC1,3,-8.65,0.81,2.91,245.19
CC[C@@H](N)CN1CCCN(c2ccccc2)C1,11,-7.71,0.86,2.72,233.19
Cc1cnccc1CCCNC1CCCN(C)C1,13,-7.91,0.81,2.74,247.2
C=C1C=CC(c2ccccn2)=C1CC1CCN(C)CC1,31,-7.93,0.83,2.94,266.18
CC(NCCN1CCCCC1C)c1cccnc1,11,-7.79,0.87,2.86,247.2
CC1CN(Cc2cncc3nc4cnccc4n23)CCN1,8,-9.79,0.76,3.43,282.16
CN[C@H](N)CCNCCCCCc1ccccc1-c1cccnc1,36,-9.86,0.44,2.89,326.25
C[C](N)CCNCCCN1CN(Cc2ccccc2)CN1C,18,-8.52,0.68,2.99,304.25
[CH]CN(C)CCCOc1ccccc1N(C)c1cccnn1,20,-8.33,0.7,2.94,298.18
CCCNCCN1CCCC[C@@H]1c1cccnc1,4,-7.59,0.78,2.6,247.2
CN(C)NCCC1=C(c2cccnc2)CCCC1,2,-8.47,0.81,2.94,245.19
c1ccc(-c2ccn[nH]2)c(CNO[C]2CCCNC2)c1,7,-9.68,0.73,3.29,271.16
CN(C)CCC1CCCN(c2cccnc2)C1,8,-7.6,0.79,2.61,233.19
CCc1cc(C)cc(N2CCCNC2)c1,11,-7.61,0.8,2.4,204.16
C[CH]CNCCc1ccccc1OCc1ccoc1CCN,30,-7.86,0.66,2.8,301.19
CCC1=C(NNc2cccnc2)CN(CC)CC1,27,-8.52,0.78,2.95,246.18
CN(C)CN(C)CN1CCN(c2cccnc2)CC1,12,-7.59,0.73,2.63,263.21
CNC(Cc1ccccc1-c1ccccc1)NN1CCCCN1,6,-8.73,0.72,3.27,310.22
CC=CN1C=NN(c2ccccc2CCCNCCCN)CC1,6,-8.97,0.69,3.29,315.24
OC1CCCN(c2ccccc2C=C2C=CN=C2)C1,5,-8.7,0.88,3.35,254.14
CC(C)NCCNCCCN1NCCN(c2ccccn2)C1=O,15,-8.2,0.59,2.85,320.23
CC(C)NCCNCCCc1cccnc1NNCc1ccncc1,31,-9.14,0.35,2.64,342.25
CN(C)CCNC=C1CCCCC1c1ccccc1,5,-7.9,0.81,2.96,258.21
C[C@H](CCN)CCC1CCCN1c1ccccc1O,14,-8.21,0.83,3.12,262.2
CC1CN(Cc2cncc3cc4ccccc4n23)CCN1,3,-8.37,0.78,3.2,280.17
ClN(CCNCc1ccncc1)c1cccnc1,29,-7.9,0.64,2.56,262.1
CCC(C)NCCN1CCC[C@@H]1c1cccnc1,4,-7.75,0.84,2.95,247.2
CN(CNCCc1ccncc1)c1ccccn1,14,-8.22,0.62,2.48,242.15
CNC1CCN(CCCc2ccccn2)CC1C,12,-7.57,0.86,2.97,247.2
C[C@H](O)CNCCCN1CCCC2=Nc3ccccc3C21,4,-8.92,0.79,3.44,287.2
Cc1ccccc1CCN1CN(CN(C)C)N1,12,-7.91,0.82,2.89,234.18
CN(CCCC1CNCN1)CCc1ccccc1,20,-8.27,0.76,2.95,247.2
OCC1CNCC[C@@H]1Cc1ccccc1-c1ncn[nH]1,6,-9.31,0.78,3.49,272.16
CNCCNCCNC(N)CCc1ccccc1-c1cccnc1,36,-10.1,0.37,2.96,327.24
CN(C)NNC1CCCN(c2ccccc2)C1,12,-8.39,0.77,2.94,234.18
CC[C@H](N)CCN(C)Cc1cccnc1NC,31,-8.39,0.76,2.92,236.2
CCNc1ncccc1CNC[CH]N1CCCC1,14,-8.45,0.72,2.94,247.19
CCCCC(=CCCCN(C)C)c1ccccc1,5,-7.06,0.6,2.2,245.21
CN(C)C[C@H](NCN)c1ccccc1Cl,19,-8.33,0.75,2.85,227.12
[CH]N(CC)CCNCc1nncc2nc3ccccc3n12,8,-10.04,0.55,3.18,282.16
CN(N)CNCCN(C)CCc1ccccc1-c1ccccc1,38,-8.86,0.32,2.44,312.23
CN(CN(C)N1CCCCC1)c1cccnc1,13,-8.18,0.74,2.86,234.18
CN(CCC=CCOc1cccnc1)NNc1ccccn1,27,-8.71,0.55,2.96,299.17
C[C@H](N)CCN1CCCC1c1cccnc1,7,-7.96,0.84,2.98,219.17
C=C1C=CC(NC2CCN(C)CC2)=NC1c1ccccc1,2,-7.39,0.9,3.4,281.19
NCC1CN(c2ncnc3[nH]c4cnccc4c23)CCO1,0,-8.34,0.72,3.22,284.14
NCC1CN(c2ncnc3[nH]c4cnccc4c23)CCO1,0,-8.34,0.72,3.22,284.14
OC[C@H]1CCNC[C@@H]1Cc1ccccc1-c1ncn[nH]1,6,-8.7,0.78,3.43,272.16
NC1CCN(c2cccc3c2-c2ccccc2C3O)CO1,22,-8.61,0.84,3.65,282.14
CCN(CNc1cccnc1)Sc1ccccn1,31,-8.47,0.64,2.91,260.11
CC(C)(O)NC1CCCN(Cc2ccccn2)C1,5,-7.25,0.79,2.9,249.18
CCC(=CCCCCN(C)C)c1cccnc1,6,-7.44,0.67,2.49,232.19
CN(N)NCCC1=CCCc2nc3ccccc3n21,9,-9.83,0.64,3.31,257.16
CC(CC=Cc1cccnc1)CCN1CCCC1,5,-7.02,0.76,2.77,244.19
C[C@@H](c1cccnc1)N(C)CN1CCCC1,10,-7.55,0.77,2.77,219.17
Cc1cnccc1CNN(NCCN)c1ccccc1,23,-7.84,0.66,2.92,271.18
CN1CCCCN1CNc1ccccn1,8,-7.45,0.81,2.76,206.15
CN(CNc1ccccc1CN)CN1CCNC1,19,-8.72,0.63,2.96,249.2
Cc1cncnc1CNN(CN(C)C)c1ccccc1,24,-8.06,0.64,2.96,271.18
CN(CCCCC1=CCCNC1)c1cccnc1,9,-8.29,0.62,2.8,245.19
CN(CN(N)Cc1ccccc1)c1cccnc1,16,-8.34,0.49,2.47,242.15
CC[C@@H](C)N(C)CCN(CC)c1cccnc1,12,-7.67,0.72,2.85,235.2
c1ccc2c(c1)nc1n2N(NCO[C@H]2CCOC2)CCN1,2,-9.19,0.81,3.93,289.15
CN(CCc1ccccn1)CN(O)c1ccsc1,18,-8.04,0.64,2.96,263.11
CCc1ncccc1CCC[C@H](N)CCN,9,-8.07,0.74,2.97,221.19
CC1CCN(CNCc2ccnc3c2C2C=CCNC2=N3)CC1,3,-8.55,0.84,4,311.21
CCN1CCN(c2ccncn2)CC1C,6,-7.73,0.72,2.78,206.15
CC[C@H](N)CCNCc1nncc2cc3ccccc3n12,3,-7.89,0.68,3.24,283.18
CN(N)Cn1ccc(=O)c2ccccc21,19,-8.29,0.58,2.55,203.11
CNc1ncccc1CNNCN(C)c1ccccc1,26,-8.46,0.41,2.7,271.18
CCCC1CC[C@@H](c2cccnc2)N(C)C1,6,-7.37,0.77,2.98,218.18
C[C@]1(O)C[C@H](C=C2N=CN=C2c2ccccc2F)CCN1,4,-9.04,0.88,4.27,287.14
CC(=N)C[C@H](Cc1ccccc1-c1ccccc1)NN,30,-8.84,0.43,2.87,267.17
CC[C@H](C)CNc1cc(CNO)ccn1,7,-8.62,0.63,2.98,209.15
c1ccc(-c2ccccc2NNCCNN2CNCCN2)cc1,9,-8.94,0.39,3.18,312.21
C=C(CCCCN)CCc1cc2cn[nH]c2cn1,10,-7.74,0.58,2.93,244.17
CN(C)NNCC[C@@H]1CN(c2ccccc2)CCC1=O,24,-8.06,0.6,3.31,276.2
CC1=C(C(C)C)CN(c2ncccn2)C1,8,-7.38,0.69,2.87,203.14
NNCCC1=Cc2ccccc2C(=O)C1,17,-8.18,0.58,2.8,202.11
CCC1C(CCN(C)Cc2cccnc2)NCNN1C,16,-8.18,0.81,3.98,277.23
CC1CN[C]1OC(Cc1ccccc1O)C1C=CC=CC1,26,-8.72,0.87,4.36,284.17
CN(N)CNCc1cncc2nc3ccccc3n12,8,-9.19,0.41,3.06,256.14
CN(C)NNNCNc1cccc2c1-c1ccccc1C2,9,-9.66,0.32,3.13,283.18
NCC1CN(CC=CC=C2NNc3ccccc3N2)CCO1,30,-8.01,0.67,3.76,301.19
CCNNNc1c(C)ncc2c1-c1ccccc1C2,4,-8.51,0.49,3.11,254.15
CN(N)CCCCC[C@H]1CCC(=O)c2ccccc21,24,-7.91,0.49,2.97,260.19
CN(Cc1ccccc1Cl)C[SH](N)[C@@H]1CCCN1,17,-8.85,0.73,4.1,287.12
CNC(C)N1NCCc2ccccc21,3,-8.44,0.73,3.37,191.14
CNCN(N)NSc1ccccc1-c1ccccc1,33,-8.42,0.33,2.88,274.13
CCCCCCN[C@@H](C)CC=C1C=CN=C1[CH]CCc1ccccn1,32,-8.12,0.54,3.81,338.26
CC1(C)CSC1CNC1NCNc2nc3ccccc3n21,4,-8.59,0.81,4.46,303.15
C1=NCNNN1CNCNNc1ccccc1-c1ccccc1,9,-9.38,0.3,3.41,311.19
CN(N)CCCCC[C@H]1C=CC(=O)c2ccccc21,23,-8.16,0.48,3.24,258.17
CCc1cnccc1CC[C@@H](C)CN(C)CC1NNNC[C@@H]1C,20,-8.87,0.68,4.41,319.27
[CH](NCC1CCCN1)C12CCCC=C1c1ccccc1N2,3,-7.99,0.79,4.27,282.2
CC1CNCN(c2ccncn2)C1,2,-7.32,0.68,3.32,178.12
C[C@@H]1N[C@H](N)C(CCCN(C)c2cccnn2)C1CO,21,-8.61,0.69,4.45,279.21
CN(C)CN(N)CCNCc1ccncc1,8,-7.56,0.29,2.8,223.18
CN(CNC1CCCCN1)NCc1cccc2c1CN1CNCCN21,4,-8.43,0.44,4.32,345.26
[C]N=CO[C@](C)(N)N1CCN(c2ccccn2)CC1,22,-8.08,0.48,3.87,260.15
CC1NCCN1CNCNN(C)c1ccccn1,13,-7.82,0.37,3.99,250.19
[CH]1CCN(C=CC2NNNc3ccccc32)ON1,13,-7.83,0.62,4.87,246.14
CCCCC1=NC=CNN1[C@@H](S)NCN1CCC(O)C1C,3,-8.63,0.42,4.99,313.19
,,,,,
Target,CDK2_1GIH,Ancestor,c1ccc2[nH]ncc2c1,,
SMILES,epoch,dockingScore,QED,SA,MolecularWeight
CN1CCN(CCNc2n[nH]c3ccccc23)C1,33,-9.57,0.85,2.42,245.16
O=c1[nH]c2ccccc2n1CCCC1CNC1,19,-9.7,0.83,2.31,231.14
CSCCCn1c(=O)[nH]c2ccccc21,9,-8.65,0.8,2.14,222.08
CNC1CC(CCNc2n[nH]c3ccccc23)C1,31,-9.28,0.76,2.47,244.17
CNCCN(C)CCc1n[nH]c2ccccc12,20,-8.97,0.79,2.52,232.17
CC(C)NCn1c(=O)[nH]c2ccccc21,9,-8.84,0.79,2.42,205.12
NCCNCCCNc1n[nH]c2ccccc12,20,-9.67,0.54,2.28,233.16
C[C@H](N)[C@H](C)CCn1c(=O)[nH]c2ccccc21,29,-9.46,0.84,3.06,233.15
CCCc1ccc2cn[nH]c2c1,13,-8.76,0.72,2.08,160.1
C[C](N)CCCNc1n[nH]c2ccccc12,16,-9.38,0.67,2.54,217.15
CNCC[C@H](C)CNc1n[nH]c2ccccc12,28,-9.46,0.72,2.81,232.17
CCNc1n[nH]c2ccccc12,4,-8.53,0.71,2.03,161.1
CC(C)(C)NNc1n[nH]c2ccccc12,15,-9.41,0.66,2.47,204.14
CC(C)c1ccc2[nH]ncc2c1,10,-8.93,0.68,2.08,160.1
CC(N)=CCCNCn1c(=O)[nH]c2ccccc21,15,-9.52,0.69,2.89,246.15
C=CCCn1c(=O)[nH]c2ccccc21,4,-8.2,0.73,2.23,188.09
c1ccc2c(CNCC3CCNC3)n[nH]c2c1,59,-9.47,0.74,2.94,230.15
Brc1cncc2ccccc12,2,-7.54,0.65,1.96,206.97
CCc1ccc2n[nH]c(C)c2c1,9,-8.78,0.68,2.11,160.1
NCCCCCNC1=NNc2ccccc2C1,29,-9.57,0.68,2.8,232.17
CC(N)CCCNc1n[nH]c2ccccc12,35,-9.38,0.67,2.67,218.15
CC(C)Sc1cccc2c(O)csc12,6,-8.56,0.77,2.74,224.03
c1ccc2c(CNC[C@@H]3CCNC3)n[nH]c2c1,39,-9.36,0.74,2.94,230.15
CNCCN(C)CNc1n[nH]c2ccccc12,25,-9.22,0.65,2.68,233.16
C[C](N)CSc1n[nH]c2ccccc12,12,-9.1,0.76,2.77,206.08
CC(=N)C=CCCCn1c(=O)[nH]c2ccccc21,10,-8.94,0.62,2.63,243.14
C[C@@H](N)CCNc1n[nH]c2ccccc12,22,-9.09,0.71,2.7,204.14
C[C@H](N)CCNc1n[nH]c2ccccc12,7,-8.94,0.71,2.7,204.14
CC(C)SNc1n[nH]c2ccccc12,7,-8.73,0.76,2.79,207.08
CC(C)c1c[nH]c2ncccc12,4,-8.52,0.68,2.22,160.1
CNc1sc2ccccc2c1O,5,-8.34,0.7,2.38,179.04
O=c1[nH]c2ccccc2n1CO,8,-8.62,0.64,2.2,164.06
C[C@@H](N)CCc1n[nH]c2ccccc12,13,-8.88,0.77,2.85,189.13
C[C@@H](N)CCc1n[nH]c2ccccc12,13,-8.88,0.77,2.85,189.13
CCc1nc2ccccc2n1O,3,-8.66,0.65,2.27,162.08
Cc1sc2ccccc2c1O,4,-8.19,0.63,2.11,164.03
C[C@H](N)CCNCCc1n[nH]c2ccccc12,10,-9.07,0.66,2.92,232.17
CC(C)NCCCNC1=NNc2ncccc2C1,17,-9.13,0.69,3.12,247.18
Cc1sc2c(C)cccc2c1O,3,-8.43,0.66,2.4,178.05
CCc1n[nH]c2c(O)cccc12,28,-9.16,0.67,2.58,162.08
Oc1c[nH]c2cc(Cl)ccc12,5,-8.38,0.62,2.23,167.01
Cc1ccc2n[nH]c(C)c2c1,5,-8.34,0.61,2.04,146.08
OCc1n[nH]c2ccccc12,6,-8.86,0.63,2.29,148.06
CC(C)(C)NNc1n[nH]c2ncccc12,19,-9.03,0.65,2.77,205.13
C[C](O)Sc1n[nH]c2ccccc12,5,-8.78,0.72,2.82,193.04
Cc1c(Cl)ccc2c(N)n[nH]c12,3,-8.48,0.65,2.58,181.04
C[C](NCO)c1n[nH]c2ccccc12,12,-9,0.63,2.75,190.1
CC(C)c1ccc2c[nH]nc2c1,9,-8.65,0.68,2.61,160.1
C[C](O)c1ccc2cn[nH]c2c1,10,-8.75,0.67,2.64,161.07
CN(CCNc1cccc2cn[nH]c12)NO,10,-9.62,0.56,3,221.13
Cc1scc2c(O)cccc12,2,-8.29,0.63,2.44,164.03
Cc1c(O)ccc2c(O)csc12,4,-8.49,0.65,2.7,180.02
