SMILES,title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
COCCC(=O)NC(=O)CCCCC[NH3+],"7",14,Done,22.18,-2.23079,"grid",-2.23079,-1.17438,0,-2.3,-1.9276,-24.5287,-8.47735,5.68598,-0.0167549,-73.2995,-33.006,5.84329
CCCCCC(=O)CC(=O)CCCC,"8",15,Done,7.76,-2.74886,"grid",-2.74886,-1.53501,-0.413722,-1.6887,-2.05703,-26.2455,-9.60376,5.79844,-0.1,-61.1326,-35.8493,6.17288
CCCCCCCCCC[NH2+]CCO,"9",16,Done,70.85,-1.6763,"grid",-1.6763,-1.9625,-0.309635,-2.3,-2.02939,-18.9974,-14.0314,8.00863,-0.028826,-65.054,-33.0288,5.16407
CCCCCC(=O)CCNC=O,"10",17,Done,6.39,-3.1018,"grid",-3.1018,-1.32935,-0.32,-2.3,-2.24157,-26.466,-11.5503,6.32997,-0.185015,-67.1988,-38.0162,6.02471
CO[C@H](C)CCCCCCC(=O)NO,"11",18,Done,13.88,-3.8217,"grid",-3.8217,-1.9678,-0.320275,-1.80561,-2.11664,-25.8996,-16.499,6.35847,-0.2,-79.4345,-42.3987,4.99225
CO[C@@H](C)CCCCCCC(=O)NO,"11",19,Done,13.89,-4.9625,"grid",-4.9625,-2.05125,-0.55771,-2.3,-2.06477,-20.2533,-20.8972,6.35847,-0.2,-81.8797,-41.1505,4.9611
CO[C@H](C)CCCCCCC(=O)N[O-],"11",20,Done,8.27,-2.75444,"grid",-2.75444,-2.46257,-0.120714,-0,-2.02997,-23.8206,-16.0392,5.61003,-0.154298,-109.863,-39.8598,3.96077
CO[C@@H](C)CCCCCCC(=O)N[O-],"11",21,Done,8.27,-2.61229,"grid",-2.61229,-2.27811,-0.182783,-0,-2.02997,-23.2223,-16.0681,5.61003,-0.160124,-109.851,-39.2904,4.42187
CCCCCC(=O)CC(=O)CCC[NH2+]C,"12",22,Done,17.78,-0.477275,"grid",-0.477275,-1.37293,-0.413477,-0,-1.94779,-24.3971,-8.28042,5.81884,-0.1,-59.4698,-32.6775,1.91914
CCCCCC(=O)OCCCNC=O,"13",23,Done,13.59,-3.33614,"grid",-3.33614,-1.4302,-0.469051,-2.3,-2.03684,-28.2615,-12.7241,6.46513,-0.24348,-71.5951,-40.9856,11.032
COCCCCCCCC(=O)OCO,"14",24,Done,18.52,-2.33868,"grid",-2.33868,-1.55484,-0.419435,-1.70489,-2.01639,-26.3106,-14.8224,7.09575,-0.2,-74.095,-41.133,4.73666
CCCCCC(=O)CCCC=O,"15",25,Done,7.57,-2.48156,"grid",-2.48156,-1.49856,-0.0403835,-2.3,-2.2483,-21.9527,-10.5777,6.38998,-0.1,-56.2978,-32.5305,7.00857
COC(=O)CCCCCCCCNO,"16",26,Done,25.12,-0.404538,"grid",-0.404538,-1.5622,-0.407581,-0,-2.0231,-23.3226,-14.6587,7.15328,-0.2,-64.8766,-37.9813,3.17253
COC(=O)CCCCCCCC[NH2+][O-],"16",27,Done,16.19,-3.84091,"grid",-3.84091,-1.43496,-0.28333,-2.3,-2.08464,-20.378,-19.8503,6.35847,-0.1,-84.1993,-40.2283,5.30407
CCOC(=O)CCCCCCC(=O)NC,"17",28,Done,13.43,-3.53271,"grid",-3.53271,-1.37462,-0.564287,-2.13081,-2.02311,-31.2634,-9.82415,5.77503,-0.178121,-74.9173,-41.0875,2.20137
CCOC(=O)CCCCCC(=O)NC,"18",29,Done,8.73,-3.56746,"grid",-3.56746,-1.10691,-0.298567,-2.3,-2.13684,-28.5812,-11.7373,5.65699,-0.192462,-72.3924,-40.3186,6.26753
C[NH2+]CCCCCCCC[C@H](O)OC,"19",30,Done,25.06,-3.25306,"grid",-3.25306,-1.64812,-0.221043,-2.23498,-2.01593,-22.2626,-14.8251,6.30392,-0.1,-76.1438,-37.0877,10.7624
CCCCCCCCC[NH2+]CC(=O)OC,"20",31,Done,18.69,-2.17454,"grid",-2.17454,-1.6611,-0.231351,-1.99226,-1.93404,-26.5573,-8.89453,6.44387,-0.137606,-64.0776,-35.4518,2.68752
CCCCCCCCCNCC(=O)OC,"20",32,Done,19.2,-2.81526,"grid",-2.81526,-2.25808,-0.144676,-2.1583,-1.99092,-30.0671,-7.6977,6.49472,-0.1,-60.9901,-37.7648,7.46638
CCCCCCCCCCCCC=O,"21",33,Done,23.41,-1.16969,"grid",-1.16969,-1.73528,0,-2.3,-2.11761,-25.592,-7.26429,7.45245,-0.1,-55.2834,-32.8563,3.67883
